id,name,cost mult,build time,income,upkeep,downgrade,upgrade,tags,data,image,plugin,desc,order
lobsterbreeding,Lobster Breeding Program,60,5,,1,,,structure,,graphics/icons/industry/aquaculture.png,kentington.diyplanets.LobsterBreeding,"Although Volturn does not intentionally export live lobsters, a very small percentage remain viable throughout the freezing process. If smuggled to a suitable water world, these hardy survivors could be cryo-revived and used as the foundation of a breeding program. This action is guaranteed to draw the Diktat's ire.",420
environmentalagency,Environmental Agency,100,90,,8,,,structure,,graphics/icons/industry/environmentalagency.png,kentington.diyplanets.EnvironmentalAgency,"Backed by sufficient credits and sufficient will, technology can often solve the problems it causes. This environmental agency will slowly mitigate the effects of planetary pollution until it vanishes entirely.",421
integrationcorps,Integration Corps,60,60,,8,,,structure,,graphics/icons/industry/integrationcorps.png,kentington.diyplanets.IntegrationNice,"Peaceably integrating a decivilized population is no simple task. Temporary but generous housing projects offer survivors a stable environment, while a small army of peacekeepers, psychologists, and social workers helps them transition into productive citizens. Slowly reduces the hazard rating and stability penalty caused by a decivilized population until it disappears entirely, and also provides a small population growth bonus.",422
subjugationcorps,Subjugation Corps,30,30,,6,,,structure,,graphics/icons/industry/subjugationcorps.png,kentington.diyplanets.IntegrationNasty,"Law and order must be restored! This agency deploys military patrols and hunter-seeker drones to rapidly identify decivilized survivors and offer them a simple ultimatum: submit or die. Quickly reduces the hazard rating and stability penalty caused by a decivilized population until it disappears entirely, and also provides a small population growth bonus.",423
atmospherefilter,Atmospheric Filter,80,90,,10,,,structure,,graphics/icons/industry/atmosphericfilter.png,kentington.diyplanets.AtmoFilter,"This tremendous array of catalyst-coated nets drifts through the planet's atmosphere, transmuting its most troublesome gases into inert (but still non-breathable) compounds. Without Domain-era technology, it can reduce the effects of a toxic atmosphere, but not eliminate it entirely.",424
atmospherereducer,Atmospheric Sequestration,80,90,,10,,,structure,,graphics/icons/industry/atmosphericfilter.png,kentington.diyplanets.AtmoReducer,"Enormous pumps and intake stacks drain the densest parts of the planet's atmosphere into subterranean facilities where gases are chemically transmuted into stable solids. Without Domain-era technology, this can reduce the effects of a thick atmosphere, but cannot eliminate the hazard entirely.",425
atmospherepump,Atmospheric Pump,80,90,,10,,,structure,,graphics/icons/industry/atmosphericpump.png,kentington.diyplanets.AtmoPump,"Massive pumps, drills, and chemical plants extract inert gases from minerals in the planet's crust. Lacking Domain-era technology, this process cannot produce a completely breathable atmosphere.",426
solarreflector,Stellar Mirror,60,60,,8,,,structure,,graphics/icons/industry/stellarmirror.png,kentington.diyplanets.SolarReflector,"A makeshift array of ultra-light mirrors increases the amount of light that reaches the planet, raising its temperature. Lacking Domain-era technology, this cannot completely mitigate the effects of a cold environment, but can make the planet somewhat easier to inhabit.",427
solarshade,Stellar Shade,60,60,,8,,,structure,,graphics/icons/industry/stellarshade.png,kentington.diyplanets.SolarShade,"A makeshift array of ultra-light shades decreases the amount of light that reaches the planet, lowering its temperature. Lacking Domain-era technology, this cannot completely mitigate the effects of a hot environment, but can make the planet somewhat easier to inhabit.",428
tectonicengine,Tectonic Engine,100,90,,12,,,structure,,graphics/icons/industry/tectonicengine.png,kentington.diyplanets.TectonicEngine,"Deep-crust mining equipment can be repurposed to drain magma from strategic locations in the planet's mantle, disrupting tectonic activity before it gains momentum. Without Domain-era technology, this process can only diminish a planet's tectonic hazards rather than removing them entirely.",429
weatherregulator,Cyclonic Regulator,80,60,,10,,,structure,,graphics/icons/industry/weathercontrol.png,kentington.diyplanets.WeatherRegulator,"A series of installations in the planet's upper atmosphere drive artificial cyclones into the heart of storm systems, breaking them apart and dissipating their energy. Without Domain-era technology, this system can only diminish weather hazards rather than eliminating them entirely.",430
genepurge,Genepurge Project,80,90,,8,,,structure,,graphics/icons/industry/genepurge.png,kentington.diyplanets.GenePurge,"The Sector's leading xenologists are tasked with eliminating hostile elements of this planet's biosphere: pathogenic microbes, parasitic insect analogues, and the rare but dangerous anthropophagic flora.",431
perfectclimate,Climate Sculpting Project,120,90,,12,,,structure,,graphics/icons/industry/climatesculpting.png,kentington.diyplanets.PerfectClimate,"In the Domain's golden age, a handful of terraforming specialists were capable of the ultimate artistry: perfectly adjusting a planet's climate to meet both the biological and aesthetic needs of humanity. These masters may be long-gone, but their brainprints were copied into specialized AI cores. If one could be found, it might still hold the potential to transform a terran world into a true paradise. This facility is largely useless without such an artifact.",432
atmospherepump2,Atmospheric Pump,100,120,,12,,,structure,,graphics/icons/industry/atmosphericpump.png,kentington.diyplanets.AtmoPump2,"Massive pumps, drills, and chemical plants extract inert gases from minerals in the planet's crust. Lacking Domain-era technology, this process cannot produce a completely breathable atmosphere.",433
solarreflector2,Stellar Mirror,90,90,,8,,,structure,,graphics/icons/industry/stellarmirror.png,kentington.diyplanets.SolarReflector2,"A makeshift array of ultra-light mirrors increases the amount of light that reaches the planet, raising its temperature. Lacking Domain-era technology, this cannot completely mitigate the effects of a cold environment, but can make the planet somewhat easier to inhabit.",434
solarshade2,Stellar Shade,90,90,,8,,,structure,,graphics/icons/industry/stellarshade.png,kentington.diyplanets.SolarShade2,"A makeshift array of ultra-light shades decreases the amount of light that reaches the planet, lowering its temperature. Lacking Domain-era technology, this cannot completely mitigate the effects of a hot environment, but can make the planet somewhat easier to inhabit.",435
tectonicengine2,Tectonic Engine,120,120,,15,,,structure,,graphics/icons/industry/tectonicengine.png,kentington.diyplanets.TectonicEngine2,"Deep-crust mining equipment can be repurposed to drain magma from strategic locations in the planet's mantle, disrupting tectonic activity before it gains momentum. Without Domain-era technology, this process can only diminish a planet's tectonic hazards rather than removing them entirely.",436
lightdistributor,Stellar Distributor,60,60,,8,,,structure,,graphics/icons/industry/stellarmirror.png,kentington.diyplanets.SolarDistributor,"A makeshift array of ultra-light mirrors evenly distributes the light a tidally-locked planet receives from its primary. Lacking Domain-era technology, this cannot fully implement a terran-standard day/night cycle, but does make the planet more comfortable to inhabit.",437
waterlauncher,Water Transport Infrastructure,60,60,,8,,,structure,,graphics/icons/industry/heavy_batteries_orbital.png,kentington.diyplanets.WaterLauncher,"A planet-spanning array of pumping facilities and mass drivers, capable of launching a steady stream of graphene-encased packages of water ice. Once this infrastructure is in place, desert worlds elsewhere in the system can be hydrated, transforming them into more habitable planet classes.",438
waterreceiver,Water Capture Infrastructure,5,20,,2,,,structure,,graphics/icons/industry/watercapture.png,kentington.diyplanets.WaterReceiver,The necessary orbital infrastructure to receive mega-tonne slabs of water ice and safely distribute it throughout a planet's atmosphere. Requires a functional water transport system elsewhere in the system.,439
gravityincrease,N-Brane Oscillator,120,120,,15,,,structure,,graphics/icons/industry/gravityadjust.png,kentington.diyplanets.GravityIncrease,"The planet-spanning infrastructure needed to operate an n-brane oscillator core. This nearly mythic piece of Domain-era technology can permanently adjust the gravitational constant in a region of spacetime; obviously, the infrastructure is useless without one.",440
