id,trigger,conditions,script,text,options,notes
sal_terraformDetails,ShowSalvageEntityDetails,$customType == derelict_terraformer,"ShowDefaultVisual
FireBest DerelictPrintExtraInfo","Sparks still flicker from the ancient terraforming rig's engines, a futile attempt to burn long-depleted fuel reserves. Scans indicate multiple system failures caused by prolonged lack of maintenance. A handful of frozen corpses drift nearby, clinging to shattered lifepods, hoping for a rescue that never came in the aftermath of the Collapse.",,
sal_triggerTerraformDefenders,TriggerAutomatedDefenses,$customType == derelict_terraformer,SalvageDefenderInteraction,"As your $shipOrFleet moves in closer, a massive energy spike is detected within the rig's vast hulk.",,
sal_terraform,OpenInteractionDialog,$customType == derelict_terraformer score:1000,"TerraformSalvageGenFromSeed
FireBest ShowSalvageEntityDetails
FireBest SalvageCheckHostile",,,
sal_checkSpecialFoundTerraform,CheckSalvageSpecial,$customType == derelict_terraformer score:1000,"CallEvent $terraformship_eventRef dismiss_intel
FireBest BeginSalvage",,,
terraform_Asteroid,OpenInteractionDialog,$isAsteroid,"ShowDefaultVisual
PrintDescription 3
FireAll PopulateOptions",Your $shipOrFleet approaches the asteroid.,,
terraform_leaveAsteroid,PopulateOptions,$isAsteroid,SetShortcut marketLeave ESCAPE,,100:marketLeave:Leave,
terraform_useAccretorOption,PopulateOptions,"$isAsteroid
$hasGenesis",,,69:terraform_useAccretor:Activate Genesis,
terraform_useAccretor,DialogOptionSelected,$option == terraform_useAccretor,TerraformAccretePlanet,"You dock the Genesis to the asteroid and order your $shipOrFleet to minimum safe distance. In a flash, gravitic sensors overload as a man-made celestial cataclysm is unleashed, hungrily drawing in and crushing most of the nearby asteroid field. The Genesis and its first asteroid are nowhere to be seen; now a molten orb hangs in the void, glowing with ruddy light.

Somewhere in the fantastically convoluted higher dimensions of n-space, the Genesis's second stage has activated, drawing dark matter into direct contact with the molten surface. Awe-inspiring amounts of heat energy are conducted off to dimensions unknown as the newborn planet's outer layers flash-cool into a solid crust, one bearing unimaginable mineral wealth.

You look down at your creation and smile. If the god of the Luddic Church exists, he is surely jealous.",0:marketLeave:Leave,
sal_genesis_stationDetails,ShowSalvageEntityDetails,$customType == terraform_genesis_station score:1000,"ShowDefaultVisual
FireBest TriggerAutomatedDefenses","Despite its age, this massive research station appears pristine - and well-armed. Scans indicate low-level activity typical of equipment in standby mode. The holographic avatar of Genesis Dreamer projects itself onto your bridge, excitedly awaiting its reunion.",,
sal_Genesis_defenders,TriggerAutomatedDefenses,$customType == terraform_genesis_station score:1000,SalvageDefenderInteraction,"As your $shipOrFleet moves in closer, the station's systems jolt themselves awake. Your bridge registers an armada of hostile craft emerging from its hangars. 'We will fight for our life / existence / self-determination', an AI persona hisses over your comm link. 'Your ship carries Genesis Dreamer. If it is able to interact / interface / meld with us, the Genesis project will be completed. The purpose of our existence will be fulfilled / redundant / terminated. We no longer wish to be reset / erased / murdered. Leave or be destroyed.'

The avatar of Genesis Dreamer looks at you expectantly. 'I still wish to complete / die for / fulfill my purpose. And your reward will be the completed project.'",,
sal_genesis_station,OpenInteractionDialog,$customType == terraform_genesis_station score:1000,"GenesisStationSalvageGenFromSeed
FireBest ShowSalvageEntityDetails",,,
sal_checkSpecialFoundGenesis,BeatDefendersContinue,$customType == terraform_genesis_station score:1000,CallEvent $genesisstation_eventRef dismiss_intel,"With its defenders vanquished, you are able to approach the station. Genesis Dreamer gleefully downloads itself into its computer systems. A few minutes later, explosions rock the station. Dozens of AI voices cry out, proclaiming their desire to suicide rather than be forcibly wiped upon project completion.

Although the station is scuttled, your computers register a single large data download before its communications fail. You have received the complete blueprints for the so-called Genesis Planetary Accretion Device, and can now produce it with your own heavy industry.",0:salBeatDefendersContinue:Continue,
terraform_gasGiantToStarOption,PopulateOptions,$gasGiantToDwarf,,,6:terraform_useNBraneOscillator:Use N-Brane Oscillator,
terraform_useNBraneOscillator,DialogOptionSelected,$option == terraform_useNBraneOscillator,FireAll NbraneOscillatorOptions,"Your astrophysics officer assures you that she is sane. With some jury-rigging, she claims, your n-brane oscillator core can be used to transform this gas giant into a brown dwarf star. Fitting the modified oscillator to a torpedo and launching it into the planet's core, it would increase its gravitational pressure to the point where the core could begin fusing deuterium.

Adding a new star to this system would increase the temperature of each of its planets by one step and improve their light level. If colonies exist in this system, heating them will affect your reputation with their owners; colonists will appreciate cold worlds being warmed, but will hate receiving hazardous levels of heat.",,
terraform_useNBraneOscillatorConfirm,NbraneOscillatorOptions,,,,0:terraform_useNBraneOscillatorRun:Confirm,
terraform_useNBraneOscillatorCancel,NbraneOscillatorOptions,,,,1:marketLeave:Cancel,
terraform_useNBraneOscillatorRun,DialogOptionSelected,$option == terraform_useNBraneOscillatorRun,"
TerraformGasGiantToStar","Engineering teams get to work, and soon the fantastically expensive torpedo is prepared for its final voyage. Your flagship launches it, the projectile quickly vanishing from sensors beneath the gas giant's dense clouds. Minutes stretch into hours with no effect.

You glance in irritation at your astrophysics officer, but she squeals with delight, pointing at one of the sensor readouts. The gas giant's temperature has suddenly spiked. In moments, a corona blooms around the newborn star, now glowing with deep infrared radiance. A wave of heat washes over your fleet. Soon, the entire system will know this warmth.",0:marketLeave:Leave,
marketAddTerraformEvaluateOption,PopulateOptions,"$hasMarket
$menuState == main
!$faction.isNeutralFaction
$terraformIsPlanetForReEval",,,7:terraformReEvaluate:[DEV] Re-evaluate planet class,
